ID,DateAdded,Category,Description,Master_ID,Notes,DatePublished,TargetPublication,Link
1,2/29/2016,City infrastructure,City-owned sites as a geographic dataset,1833,,,2017,
2,2/29/2016,Finance,City's operating and capital budgets,714,,,2017,
3,2/29/2016,Public safety,Cliff rescues date and location,758,,,2020,
4,2/29/2016,Economy and community,Community Block Development Grant areas as a geographic dataset,403,,,2017,
5,2/29/2016,Economy and community,Community Development Block Grant projects,,y,,2018,
6,2/29/2016,Finance,Daily water utility revenue by rate category,1123,,,2018,
7,2/29/2016,Economy and community,Development project status,315,,,2018,
8,2/29/2016,City management and ethics,Entry and exit points tracked for sandiego.gov visitors,370,,,2018,
9,2/29/2016,City infrastructure,Fire hydrant knockover totals by year,1797,,,2020,
10,2/29/2016,Public safety,Fire/EMS response time statistics,745,,,2017,
11,2/29/2016,City infrastructure,Five-Year Capital Infrastructure Planning Outlook report: data on capital infrastructure needs and funding for the next five fiscal years,730,,,2020,
12,2/29/2016,Economy and community,Foreign trade zones as a geographic dataset,387,,,2017,
13,2/29/2016,Energy and environment,Geological hazards as a geographic dataset,431,,,2017,
14,2/29/2016,Culture and recreation,"Historic properties and the site details that have been submitted to the California Historical Resources Inventory Database
",1076,,,2018,
15,2/29/2016,Culture and recreation,Historical districts as a geographic dataset,410,,,2017,
16,2/29/2016,Finance,Historical ratings of city bond issues,280,,,2020,
17,2/29/2016,Culture and recreation,Inventory of all City parks,866,,,2020,
18,2/29/2016,City infrastructure,Joint-use areas as a geographic dataset,879,,,2017,
19,2/29/2016,Economy and community,Land development permit applications received,324,,,2017,
20,2/29/2016,Economy and community,Land development permit inspection results,317,,,2018,
21,2/29/2016,Economy and community,Lease agreements where the City leases space from an outside entity,1879,,,2018,
22,2/29/2016,Energy and environment,Spreadsheet tracking compliance of a goal of achieving a 20% reduction in urban per capita water,1826,,,2019,
23,2/29/2016,Finance,Parking meter transactions,201,,07/01/2016,2016,parking-meter-transactions
24,2/29/2016,City infrastructure,State of the CIP Report: a status report on the Capital Improvements Program. This report includes data on the City's capital infrastructure projects by fiscal year,1852,,,2020,
25,2/29/2016,Economy and community,General Plan Land Use,430,,07/01/2016,2016,general-plan-land-use-map
26,2/29/2016,Economy and community,Parking zone boundaries,412,,07/01/2016,2016,parking-zone-boundaries
27,2/29/2016,City infrastructure,Street light inventory,1977,,,2019,
28,2/29/2016,Economy and community,Permits completed,326,,07/01/2016,2016,permits-issued
29,2/29/2016,City management and ethics,Browsers and platforms used by visitors to sandiego.gov,363,,,2017,
30,2/29/2016,Economy and community,Permits issued,325,,07/01/2016,2016,permits-issued
31,2/29/2016,City infrastructure,Building footprints of city-owned buildings as a geographic dataset,428,,,2017,
32,2/29/2016,Economy and community,Building footprints of non-residential buildings in San Diego as a geographic dataset,429,,,2017,
33,2/29/2016,Culture and recreation,Revenue earned annually by each arts and culture organization that receives city funding,225,,,2019,
34,2/29/2016,Economy and community,Land development permit status,316,,07/01/2016,2016,permits-issued
35,2/29/2016,Energy and environment,Children's Pool seal counts,1062,,,2019,
36,2/29/2016,Finance,Sales tax projection tables,738,,,2019,
37,2/29/2016,City infrastructure,Leases for City-owned property,1878,,07/01/2016,2016,leases-city-owned-property
38,2/29/2016,City management and ethics,City Council Agendas,25,,,2019,
39,2/29/2016,City management and ethics,Sandiego.gov top downloaded files,365,,,2019,
40,2/29/2016,Energy and environment,"Tonnages of disposed materials brought to Miramar landfill, plus revenue from transaction fees",704,,,2020,
41,2/29/2016,Economy and community,Community Planning District boundaries,405,,07/01/2016,2016,community-planning-district-boundaries
42,2/29/2016,City management and ethics,City Council Vote Results,25,,,2020,
43,2/29/2016,City management and ethics,Sandiego.gov top search terms/phrases,361,,,2019,
44,2/29/2016,Culture and recreation,Total hours of all libraries by year,814,,,2020,
45,2/29/2016,Transportation,Bike route lines,385,,07/01/2016,2016,bike-route-map
46,2/29/2016,City management and ethics,Sandiego.gov top visited pages,364,,,2019,
47,2/29/2016,Finance,Tourism Marketing District totals by period,162,,,2020,
48,2/29/2016,City infrastructure,Schedule of when overhead utility lines will be moved underground,1959,,,2019,
49,2/29/2016,Finance,Transient Occupancy Tax certificate counts by type and status,159,,,2020,
50,2/29/2016,Culture and recreation,Library hours by location,813,,,2020,
51,2/29/2016,Finance,Transient Occupancy Tax totals by period,165,,,2020,
52,2/29/2016,City infrastructure,Lifeguard stations,435,,,2020,
53,2/29/2016,City infrastructure,Mapping of open and closed landfills,677,,,2018,
54,2/29/2016,Energy and environment,"Trash, recycling and yard waste tonnage collected by City forces",691,,,2020,
55,2/29/2016,Culture and recreation,Special events,1933,,07/01/2016,2016,special-events
56,2/29/2016,Finance,Listing of bond refundings,284,,,2020,
57,2/29/2016,Energy and environment,"Metered potable water billed to all accounts, rolling 12-months, in acre-feet",1129,,,2020,
58,2/29/2016,Energy and environment,"Wastewater testing, including total suspended solids and biochemical oxygen demand",1699,,,2019,
59,2/29/2016,City management and ethics,City Council district boundaries,407,,07/01/2016,2016,city-council-district-boundaries
60,2/29/2016,Transportation,Street sweeping schedules,,,07/01/2016,2016,street-sweeping-schedule
61,2/29/2016,Finance,Listing of continuing disclosure filings made for each bond issuance,281,,,2020,
62,2/29/2016,Energy and environment,"Metered recycled irrigation billed to all accounts, rolling 12 months, in acre-feet",1134,,,2020,
63,2/29/2016,City infrastructure,Water main break totals by year,1795,,,2019,
64,2/29/2016,Economy and community,Open code enforcement cases,334,,07/01/2016,2016,code-enforcement-violations
65,2/29/2016,City infrastructure,Traffic signal inventory,1976,,,2016,
