ID,DateAdded,Category,Description,Master_ID,Notes,DatePublished,TargetPublication,Link
1,2/29/16,City infrastructure,Leases for City-owned property,1878,,6/22/16,2016,leases-city-owned-property
2,2/29/16,City infrastructure,Traffic signal inventory,1976,,,2016,
3,2/29/16,City infrastructure,Recreation center locations,884,,6/22/16,2016,recreation-center-locations
4,2/29/16,City infrastructure,Monitoring of indicator bacteria in drinking water,1487,,6/22/16,2016,monitoring-indicator-bacteria-drinking-water
5,2/29/16,City infrastructure,City-owned sites as a geographic dataset,1833,,,2017,
6,2/29/16,City infrastructure,Joint-use areas as a geographic dataset,879,,,2017,
7,2/29/16,City infrastructure,Building footprints of city-owned buildings as a geographic dataset,428,,,2017,
8,2/29/16,City infrastructure,Mapping of open and closed landfills,677,,,2018,
9,2/29/16,City infrastructure,Street light inventory,1977,,,2019,
10,2/29/16,City infrastructure,Schedule of when overhead utility lines will be moved underground,1959,,,2019,
11,2/29/16,City infrastructure,Water main break totals by year,1795,,,2019,
12,2/29/16,City infrastructure,Water main breaks as a geographic dataset,1210,,,2019,
13,2/29/16,City infrastructure,Fire hydrant knockover totals by year,1797,,,2020,
14,2/29/16,City infrastructure,Five-Year Capital Infrastructure Planning Outlook report: data on capital infrastructure needs and funding for the next five fiscal years,730,,,2020,
15,2/29/16,City infrastructure,State of the CIP Report: a status report on the Capital Improvements Program. This report includes data on the City's capital infrastructure projects by fiscal year,1852,,,2020,
16,2/29/16,City infrastructure,Lifeguard stations,435,,,2020,
17,2/29/16,City infrastructure,Parks restroom inventory,906,,,2020,
18,2/29/16,City management and ethics,City Council district boundaries,407,,6/22/16,2016,city-council-district-boundaries
19,2/29/16,City management and ethics,Browsers and platforms used by visitors to sandiego.gov,363,,,2017,
20,2/29/16,City management and ethics,Active campaign committees,29,,,2017,
21,2/29/16,City management and ethics,"Appointments, reappointments, resignations in City boards and commissions",31,,,2017,
22,2/29/16,City management and ethics,Entry and exit points tracked for sandiego.gov visitors,370,,,2018,
23,2/29/16,City management and ethics,Number of unique and return visitors to sandiego.gov,362,,,2018,
24,2/29/16,City management and ethics,City Council Agendas,25,,,2019,
25,2/29/16,City management and ethics,Sandiego.gov top downloaded files,365,,,2019,
26,2/29/16,City management and ethics,Sandiego.gov top search terms/phrases,361,,,2019,
27,2/29/16,City management and ethics,Sandiego.gov top visited pages,364,,,2019,
28,2/29/16,City management and ethics,Public Utilities Capital Improvements Program as a geographic dataset,1406,,,2019,
29,2/29/16,City management and ethics,City Council Vote Results,25,,,2020,
30,2/29/16,Culture and recreation,Special events,1933,,6/22/16,2016,special-events
31,2/29/16,Culture and recreation,Historical districts as a geographic dataset,410,,,2017,
32,2/29/16,Culture and recreation,Amount of money each city-funded arts and culture organization annually spends in the local economy,220,,,2017,
33,2/29/16,Culture and recreation,Amount of revenue contributed by entities other than the city annually to each arts and culture organization that also receives City funding,226,,,2017,
34,2/29/16,Culture and recreation,Athletic areas as a geographic dataset,878,,,2017,
35,2/29/16,Culture and recreation,"Historic properties and the site details that have been submitted to the California Historical Resources Inventory Database",1076,,,2018,
36,2/29/16,Culture and recreation,Number of free admissions offered annually by each arts and culture organization that receives city funding,228,,,2018,
37,2/29/16,Culture and recreation,"Number of full-time employees, part-time employees and volunteers engaged by each arts and culture organization that receives city funding",219,,,2018,
38,2/29/16,Culture and recreation,Number of paid admissions collected annually by each arts and culture organization that receives city funding,227,,,2018,
39,2/29/16,Culture and recreation,Number of people who attend the services provided by city-funded arts and culture organizations each year,224,,,2018,
40,2/29/16,Culture and recreation,Numbers of tourists who access services from arts and culture organizations that receive City funding,223,,,2018,
41,2/29/16,Culture and recreation,Parcels designated as open space in GIS layer,437,,,2018,
42,2/29/16,Culture and recreation,Park land by dedication status as a geographic dataset,880,,,2018,
43,2/29/16,Culture and recreation,Revenue earned annually by each arts and culture organization that receives city funding,225,,,2019,
44,2/29/16,Culture and recreation,Pools/aquatic center locations as a geographic dataset,883,,,2019,
45,2/29/16,Culture and recreation,Playground locations as a geographic dataset,882,,,2019,
46,2/29/16,Culture and recreation,Inventory of all City parks,866,,,2020,
47,2/29/16,Culture and recreation,Total hours of all libraries by year,814,,,2020,
48,2/29/16,Culture and recreation,Library hours by location,813,,,2020,
49,2/29/16,Culture and recreation,Beach amentities by beach,755,,,2020,
50,2/29/16,Culture and recreation,Official Library circulation statistics,828,,,2020,
51,2/29/16,Economy and community,General Plan Land Use,430,,6/22/16,2016,general-plan-land-use-map
52,2/29/16,Economy and community,Parking zone boundaries,412,,6/22/16,2016,parking-zone-boundaries
53,2/29/16,Economy and community,Permits completed,326,,6/22/16,2016,permits-issued
54,2/29/16,Economy and community,Permits issued,325,,6/22/16,2016,permits-issued
55,2/29/16,Economy and community,Land development permit status,316,,6/22/16,2016,permits-issued
56,2/29/16,Economy and community,Community Planning District boundaries,405,,6/22/16,2016,community-planning-district-boundaries
57,2/29/16,Economy and community,Open code enforcement cases,334,,6/22/16,2016,code-enforcement-violations
58,2/29/16,Economy and community,Financial support for candidates and ballot measures up for election,36,,6/22/16,2016,financial-support-candidates-and-ballot-measures-election
59,2/29/16,Economy and community,Zoning,586,,6/22/16,2016,zoning-map
60,2/29/16,Economy and community,Code enforcement case status,337,,6/22/16,2016,code-enforcement-violations
61,2/29/16,Economy and community,Business Improvement District boundaries,388,,6/22/16,2016,business-improvement-district-boundaries
62,2/29/16,Economy and community,Business listings,179,,6/22/16,2016,active-businesses-san-diego
63,2/29/16,Economy and community,Community Block Development Grant areas as a geographic dataset,403,,,2017,
64,2/29/16,Economy and community,Foreign trade zones as a geographic dataset,387,,,2017,
65,2/29/16,Economy and community,Land development permit applications received,324,,,2017,
66,2/29/16,Economy and community,Building footprints of non-residential buildings in San Diego as a geographic dataset,429,,,2017,
67,2/29/16,Economy and community,Active businesses by Business Improvement District,180,,,2017,
68,2/29/16,Economy and community,Bank reported vacant/foreclosed properties,314,,,2017,
69,2/29/16,Economy and community,Community Development Block Grant projects,,y,,2018,
70,2/29/16,Economy and community,Development project status,315,,,2018,
71,2/29/16,Economy and community,Land development permit inspection results,317,,,2018,
72,2/29/16,Economy and community,Lease agreements where the City leases space from an outside entity,1879,,,2018,
73,2/29/16,Economy and community,Number of companies assisted annually through the Economic Development Department,,b,,2018,
74,2/29/16,Economy and community,Numbers of new storefront improvement program participants,592,,,2018,
75,2/29/16,Economy and community,Numbers of projects completed as part of the storefront improvement program,593,,,2018,
76,2/29/16,Economy and community,Recently closed code enforcement cases,335,,,2019,
77,2/29/16,Economy and community,"Parking impact zones for campus, coast & beach as a geographic dataset",438,,,2019,
78,2/29/16,Energy and environment,Geological hazards as a geographic dataset,431,,,2017,
79,2/29/16,Energy and environment,"Metered water billed to all accounts, rolling 12 months, in acre-feet",1126,,,2018,
80,2/29/16,Energy and environment,Metered water billed to City accounts by City Department,1132,,,2018,
81,2/29/16,Energy and environment,Metered water billed to City accounts by premise type,1130,,,2018,
